customer_id,city,state,region,signup_date,segment
CUST-00001,San Antonio,TX,Central,2022-05-29,Consumer
CUST-00002,Los Angeles,CA,West,2022-08-02,Consumer
CUST-00003,Phoenix,AZ,West,2024-03-10,Consumer
CUST-00004,San Francisco,CA,West,2023-12-18,Consumer
CUST-00005,New York,NY,East,2022-10-19,Consumer
CUST-00006,Chicago,IL,Central,2021-03-30,Consumer
CUST-00007,New York,NY,East,2022-09-25,Corporate
CUST-00008,Jacksonville,FL,East,2023-12-11,Home Office
CUST-00009,Indianapolis,IN,East,2022-09-29,Consumer
CUST-00010,San Antonio,TX,Central,2022-06-18,Home Office
CUST-00011,Chicago,IL,Central,2021-07-05,Consumer
CUST-00012,Los Angeles,CA,West,2023-11-25,Consumer
CUST-00013,Seattle,WA,West,2021-03-30,Consumer
CUST-00014,Austin,TX,Central,2021-08-03,Consumer
CUST-00015,San Antonio,TX,Central,2022-10-18,Consumer
CUST-00016,Chicago,IL,Central,2021-07-02,Consumer
CUST-00017,Chicago,IL,Central,2023-05-11,Consumer
CUST-00018,Philadelphia,PA,East,2024-11-05,Consumer
CUST-00019,,NY,East,2024-02-16,Consumer
CUST-00020,San Diego,CA,West,2022-12-28,Consumer
CUST-00021,Dallas,TX,Central,2021-05-17,Consumer
CUST-00022,Phoenix,AZ,West,2024-10-14,Consumer
CUST-00023,Los Angeles,CA,West,2021-11-07,Consumer
CUST-00024,Columbus,OH,East,2022-05-10,Consumer
CUST-00025,San Diego,CA,West,2023-10-26,Consumer
CUST-00026,Los Angeles,CA,West,2024-01-25,Consumer
CUST-00027,Los Angeles,CA,West,2021-08-14,Corporate
CUST-00028,Dallas,TX,Central,2023-06-23,Consumer
CUST-00029,Indianapolis,IN,East,2024-11-12,Consumer
CUST-00030,Columbus,OH,East,2021-12-30,Consumer
CUST-00031,Austin,TX,Central,2024-04-03,Consumer
CUST-00032,New York,NY,East,2021-04-07,Consumer
CUST-00033,,AZ,West,2021-06-06,Consumer
CUST-00034,New York,NY,East,2023-05-06,Consumer
CUST-00035,Philadelphia,PA,East,2023-12-13,Corporate
CUST-00036,New York,NY,East,2021-05-22,Corporate
CUST-00037,Los Angeles,CA,West,2023-07-03,Consumer
CUST-00038,Los Angeles,CA,West,2024-11-04,Consumer
CUST-00039,Houston,TX,Central,2022-06-03,Consumer
CUST-00040,New York,NY,East,2022-02-05,Consumer
CUST-00041,San Antonio,TX,Central,2024-01-30,Corporate
CUST-00042,Charlotte,NC,East,2024-10-13,Consumer
CUST-00043,New York,NY,East,2023-04-11,Consumer
CUST-00044,San Francisco,CA,West,2022-01-29,Home Office
CUST-00045,New York,NY,East,2024-07-16,Consumer
CUST-00046,New York,NY,East,2022-12-09,Consumer
CUST-00047,Chicago,IL,Central,2021-11-18,Consumer
CUST-00048,San Antonio,TX,Central,2024-11-03,Corporate
CUST-00049,New York,NY,East,2023-08-12,Consumer
CUST-00050,Los Angeles,CA,West,2023-01-16,Consumer
CUST-00051,Los Angeles,CA,West,2024-11-01,Corporate
CUST-00052,Los Angeles,CA,West,2024-04-05,Home Office
CUST-00053,New York,NY,East,2024-06-29,Consumer
CUST-00054,Houston,TX,Central,2023-10-05,Consumer
CUST-00055,Los Angeles,CA,West,2021-01-29,Consumer
CUST-00056,,AZ,West,2024-07-22,Consumer
CUST-00057,Phoenix,AZ,West,2024-08-23,Home Office
CUST-00058,New York,NY,East,2021-04-16,Home Office
CUST-00059,Dallas,TX,Central,2024-01-22,Consumer
CUST-00060,Jacksonville,FL,East,2023-07-30,Consumer
CUST-00061,New York,NY,East,2021-09-16,Consumer
CUST-00062,Dallas,TX,Central,2022-07-13,Consumer
CUST-00063,Philadelphia,PA,East,2024-03-01,Consumer
CUST-00064,New York,NY,East,2024-05-02,Consumer
CUST-00065,Austin,TX,Central,2022-01-25,Consumer
CUST-00066,Seattle,WA,West,2024-10-25,Consumer
CUST-00067,Los Angeles,CA,West,2022-08-26,Home Office
CUST-00068,San Francisco,CA,West,2024-08-08,Consumer
CUST-00069,Denver,CO,West,2021-07-17,Consumer
CUST-00070,New York,NY,East,2021-01-07,Consumer
CUST-00071,Los Angeles,CA,West,2021-08-21,Consumer
CUST-00072,New York,NY,East,2021-05-22,Consumer
CUST-00073,New York,NY,East,2024-08-01,Consumer
CUST-00074,Jacksonville,FL,East,2022-01-14,Consumer
CUST-00075,New York,NY,East,2023-01-20,Corporate
CUST-00076,New York,NY,East,2022-11-10,Home Office
CUST-00077,Seattle,WA,West,2021-11-04,Consumer
CUST-00078,Los Angeles,CA,West,2021-06-24,Consumer
CUST-00079,Los Angeles,CA,West,2023-01-12,Consumer
CUST-00080,Los Angeles,CA,West,2024-10-06,Consumer
CUST-00081,San Antonio,TX,Central,2021-12-23,Consumer
