order_item_id,order_id,product_id,quantity,unit_price,discount_amount,total_amount
ITM-0000001,ORD-2023-000001,PROD-0078,1,379.23,0.0,379.23
ITM-0000002,ORD-2023-000002,PROD-0007,1,270.71,40.61,230.1
ITM-0000003,ORD-2022-000003,PROD-0030,1,43.3,4.33,38.97
ITM-0000004,ORD-2022-000003,PROD-0030,1,43.3,0.0,43.3
ITM-0000005,ORD-2023-000004,PROD-0104,1,36.2,7.24,28.96
ITM-0000006,ORD-2022-000005,PROD-0093,1,207.01,0.0,207.01
ITM-0000007,ORD-2023-000006,PROD-0042,1,227.01,0.0,227.01
ITM-0000008,ORD-2023-000006,PROD-0018,1,318.69,0.0,318.69
ITM-0000009,ORD-2023-000007,PROD-0005,1,111.27,16.69,94.58
ITM-0000010,ORD-2023-000007,PROD-0061,1,45.82,0.0,45.82
ITM-0000011,ORD-2023-000007,PROD-0008,1,33.25,0.0,33.25
ITM-0000012,ORD-2022-000008,PROD-0042,1,227.01,0.0,227.01
ITM-0000013,ORD-2022-000009,PROD-0064,1,157.3,0.0,157.3
ITM-0000014,ORD-2024-000010,PROD-0054,1,198.57,0.0,198.57
ITM-0000015,ORD-2024-000010,PROD-0036,1,69.89,10.48,59.41
ITM-0000016,ORD-2024-000011,PROD-0094,1,144.66,14.47,130.19
ITM-0000017,ORD-2023-000012,PROD-0071,4,600.46,360.28,2041.56
ITM-0000018,ORD-2023-000013,PROD-0082,1,99.37,0.0,99.37
ITM-0000019,ORD-2024-000014,PROD-0071,3,600.46,0.0,1801.38
ITM-0000020,ORD-2024-000015,PROD-0110,1,79.62,0.0,79.62
ITM-0000021,ORD-2023-000016,PROD-0098,3,78.86,0.0,236.58
ITM-0000022,ORD-2023-000016,PROD-0040,1,141.98,21.3,120.68
ITM-0000023,ORD-2023-000016,PROD-0079,3,1257.72,377.32,3395.84
ITM-0000024,ORD-2023-000017,PROD-0089,1,463.28,0.0,463.28
ITM-0000025,ORD-2023-000018,PROD-0117,1,293.11,29.31,263.8
ITM-0000026,ORD-2023-000019,PROD-0081,1,681.24,68.12,613.12
ITM-0000027,ORD-2023-000020,PROD-0008,3,33.25,0.0,99.75
ITM-0000028,ORD-2023-000020,PROD-0072,1,109.03,0.0,109.03
ITM-0000029,ORD-2023-000020,PROD-0102,1,426.45,0.0,426.45
ITM-0000030,ORD-2023-000020,PROD-0061,1,45.82,0.0,45.82
ITM-0000031,ORD-2022-000021,PROD-0010,1,31.53,0.0,31.53
ITM-0000032,ORD-2022-000021,PROD-0007,1,270.71,0.0,270.71
ITM-0000033,ORD-2022-000022,PROD-0101,1,291.08,29.11,261.97
ITM-0000034,ORD-2022-000022,PROD-0105,1,48.71,9.74,38.97
ITM-0000035,ORD-2022-000023,PROD-0052,1,552.66,0.0,552.66
ITM-0000036,ORD-2022-000023,PROD-0112,1,147.39,14.74,132.65
