order_id,customer_id,order_date,ship_date,order_status,ship_mode
ORD-2023-000001,CUST-01309,2023-10-30,2023-11-01,Delivered,Express
ORD-2023-000002,CUST-03446,2023-03-26,2023-03-30,Delivered,Standard
ORD-2022-000003,CUST-00956,2022-06-19,2022-06-26,Returned,Standard
ORD-2023-000004,CUST-01263,2023-08-10,,Cancelled,Express
ORD-2022-000005,CUST-03138,2022-11-14,2022-11-21,Delivered,Standard
ORD-2023-000006,CUST-04022,2023-12-02,2023-12-08,Delivered,Standard
ORD-2023-000007,CUST-00808,2023-07-19,2023-07-25,Delivered,Standard
ORD-2022-000008,CUST-04307,2022-11-26,2022-11-27,Delivered,Next Day
ORD-2022-000009,CUST-01061,2022-01-10,2022-01-16,Shipped,Standard
ORD-2024-000010,CUST-01112,2024-10-01,2024-10-08,Delivered,Standard
ORD-2024-000011,CUST-03175,2024-12-26,2025-01-02,Delivered,Standard
ORD-2023-000012,CUST-02257,2023-10-21,2023-10-22,Delivered,Next Day
ORD-2023-000013,CUST-01381,2023-10-06,2023-10-11,Delivered,Standard
ORD-2024-000014,CUST-01982,2024-11-06,,Cancelled,Standard
ORD-2024-000015,CUST-03754,2024-09-26,2024-09-28,Delivered,Express
ORD-2023-000016,CUST-01193,2023-10-30,2023-11-03,Delivered,Standard
ORD-2023-000017,CUST-03784,2023-12-24,2023-12-31,Delivered,Standard
ORD-2023-000018,CUST-02967,2023-05-22,2023-05-26,Delivered,Standard
ORD-2023-000019,CUST-01725,2023-11-04,2023-11-11,Delivered,Standard
ORD-2023-000020,CUST-04326,2023-10-16,2023-10-21,Delivered,Standard
ORD-2022-000021,CUST-04132,2022-01-04,2022-01-09,Delivered,Standard
ORD-2022-000022,CUST-04846,2022-07-14,2022-07-17,Delivered,Standard
ORD-2022-000023,CUST-02896,2022-09-11,2022-09-16,Delivered,Standard
ORD-2024-000024,CUST-03664,2024-11-03,2024-11-06,Delivered,Standard
ORD-2023-000025,CUST-02051,2023-08-30,2023-08-31,Delivered,Next Day
ORD-2022-000026,CUST-03601,2022-03-11,2022-03-13,Delivered,Express
ORD-2022-000027,CUST-04864,2022-11-20,2022-11-22,Delivered,Express
ORD-2023-000028,CUST-03435,2023-03-12,2023-03-17,Delivered,Standard
ORD-2024-000029,CUST-04087,2024-02-03,2024-02-08,Delivered,Standard
ORD-2023-000030,CUST-02202,2023-01-26,2023-02-02,Delivered,Standard
ORD-2023-000031,CUST-04556,2023-07-03,2023-07-08,Delivered,Standard
ORD-2022-000032,CUST-00197,2022-07-24,2022-07-25,Delivered,Next Day
ORD-2022-000033,CUST-00687,2022-10-09,2022-10-16,Delivered,Standard
ORD-2024-000034,CUST-04931,2024-09-03,2024-09-06,Delivered,Standard
ORD-2022-000035,CUST-04177,2022-11-17,2022-11-20,Delivered,Standard
ORD-2024-000036,CUST-04326,2024-03-07,2024-03-10,Delivered,Standard
ORD-2024-000037,CUST-00283,2024-05-30,2024-06-06,Delivered,Standard
ORD-2024-000038,CUST-04662,2024-11-07,2024-11-11,Delivered,Standard
ORD-2022-000039,CUST-00759,2022-10-02,2022-10-05,Delivered,Standard
ORD-2023-000040,CUST-00256,2023-04-02,2023-04-07,Shipped,Standard
ORD-2023-000041,CUST-03166,2023-10-22,2023-10-28,Delivered,Standard
ORD-2023-000042,CUST-02931,2023-12-23,2023-12-30,Shipped,Standard
ORD-2022-000043,CUST-01766,2022-07-26,2022-07-30,Delivered,Standard
ORD-2022-000044,CUST-04200,2022-11-14,2022-11-21,Delivered,Standard
ORD-2024-000045,CUST-01794,2024-10-12,2024-10-19,Shipped,Standard
ORD-2022-000046,CUST-03638,2022-09-12,2022-09-17,Shipped,Standard
ORD-2023-000047,CUST-03970,2023-12-01,2023-12-03,Delivered,Express
ORD-2023-000048,CUST-02007,2023-12-14,2023-12-20,Delivered,Standard
ORD-2024-000049,CUST-03794,2024-07-09,2024-07-11,Shipped,Express
ORD-2022-000050,CUST-03107,2022-07-17,2022-07-19,Delivered,Express
ORD-2024-000051,CUST-02609,2024-12-12,2024-12-18,Delivered,Standard
ORD-2023-000052,CUST-02802,2023-07-03,,Processing,Express
ORD-2022-000053,CUST-03318,2022-11-19,2022-11-21,Delivered,Express
ORD-2023-000054,CUST-00805,2023-01-12,2023-01-13,Delivered,Next Day
ORD-2022-000055,CUST-02833,2022-10-13,2022-10-18,Delivered,Standard
ORD-2024-000056,CUST-03383,2024-06-09,2024-06-12,Delivered,Standard
ORD-2024-000057,CUST-00874,2024-12-13,,Processing,Standard
ORD-2024-000058,CUST-02031,2024-04-08,2024-04-15,Delivered,Standard
ORD-2023-000059,CUST-04786,2023-05-31,2023-06-07,Shipped,Standard
ORD-2024-000060,CUST-04001,2024-07-19,2024-07-26,Delivered,Standard
ORD-2022-000061,CUST-03848,2022-07-13,2022-07-16,Delivered,Standard
ORD-2023-000062,CUST-00977,2023-12-05,2023-12-10,Delivered,Standard
ORD-2024-000063,CUST-00278,2024-10-21,2024-10-25,Delivered,Standard
ORD-2022-000064,CUST-03225,2022-12-14,2022-12-16,Delivered,Express
ORD-2023-000065,CUST-00613,2023-09-17,2023-09-19,Returned,Express
ORD-2023-000066,CUST-01978,2023-11-14,2023-11-19,Delivered,Standard
ORD-2023-000067,CUST-03700,2023-06-15,2023-06-17,Delivered,Express
ORD-2023-000068,CUST-03620,2023-06-10,,Processing,Standard
ORD-2024-000069,CUST-04715,2024-03-16,2024-03-22,Delivered,Standard
ORD-2024-000070,CUST-00571,2024-05-25,2024-05-31,Returned,Standard
ORD-2023-000071,CUST-04968,2023-05-26,2023-05-30,Delivered,Standard
ORD-2022-000072,CUST-00326,2022-08-09,2022-08-15,Delivered,Standard
ORD-2023-000073,CUST-00546,2023-03-17,,Cancelled,Standard
ORD-2023-000074,CUST-03525,2023-01-23,2023-01-25,Delivered,Express
ORD-2023-000075,CUST-04319,2023-12-07,2023-12-11,Delivered,Standard
ORD-2022-000076,CUST-01588,2022-12-24,2022-12-27,Delivered,Standard
ORD-2024-000077,CUST-01972,2024-12-21,2024-12-23,Delivered,Express
ORD-2023-000078,CUST-02975,2023-11-23,,Cancelled,Standard
ORD-2024-000079,CUST-02461,2024-07-18,2024-07-21,Delivered,Standard
ORD-2022-000080,CUST-01941,2022-07-30,2022-08-05,Delivered,Standard
ORD-2023-000081,CUST-04711,2023-10-04,2023-10-11,Delivered,Standard
ORD-2022-000082,CUST-04354,2022-08-05,2022-08-08,Delivered,Standard
ORD-2023-000083,CUST-01364,2023-11-12,2023-11-14,Delivered,Express
ORD-2023-000084,CUST-00421,2023-09-03,2023-09-06,Shipped,Standard
ORD-2023-000085,CUST-01587,2023-07-04,2023-07-06,Delivered,Express
ORD-2023-000086,CUST-01495,2023-11-15,,Cancelled,Express
ORD-2024-000087,CUST-01662,2024-01-21,2024-01-23,Delivered,Express
ORD-2023-000088,CUST-04235,2023-08-25,2023-08-26,Delivered,Next Day
ORD-2024-000089,CUST-03905,2024-10-18,2024-10-19,Shipped,Next Day
ORD-2022-000090,CUST-00756,2022-11-16,2022-11-22,Delivered,Standard
ORD-2024-000091,CUST-04477,2024-09-23,2024-09-27,Shipped,Standard
ORD-2024-000092,CUST-02480,2024-12-24,2024-12-27,Shipped,Standard
ORD-2022-000093,CUST-04581,2022-10-13,2022-10-16,Delivered,Standard
ORD-2024-000094,CUST-03945,2024-01-19,2024-01-21,Delivered,Express
ORD-2022-000095,CUST-00511,2022-10-12,2022-10-18,Delivered,Standard
ORD-2024-000096,CUST-02560,2024-12-13,2024-12-14,Delivered,Next Day
ORD-2023-000097,CUST-00130,2023-12-17,2023-12-24,Delivered,Standard
ORD-2022-000098,CUST-03950,2022-08-29,2022-08-31,Delivered,Express
ORD-2024-000099,CUST-02849,2024-01-19,2024-01-21,Delivered,Express
ORD-2022-000100,CUST-01326,2022-10-06,2022-10-12,Delivered,Standard
ORD-2024-000101,CUST-04855,2024-05-08,2024-05-13,Delivered,Standard
ORD-2023-000102,CUST-00403,2023-01-10,2023-01-11,Delivered,Next Day
ORD-2024-000103,CUST-04047,2024-10-23,2024-10-30,Delivered,Standard
ORD-2023-000104,CUST-00114,2023-11-21,2023-11-26,Delivered,Standard
ORD-2022-000105,CUST-00703,2022-10-06,2022-10-11,Delivered,Standard
ORD-2023-000106,CUST-01874,2023-09-04,2023-09-09,Delivered,Standard
ORD-2022-000107,CUST-02856,2022-06-16,2022-06-17,Delivered,Next Day
ORD-2024-000108,CUST-02702,2024-03-03,2024-03-07,Delivered,Standard
ORD-2023-000109,CUST-03036,2023-10-10,2023-10-11,Delivered,Next Day
ORD-2024-000110,CUST-02299,2024-11-20,2024-11-24,Delivered,Standard
ORD-2023-000111,CUST-01588,2023-01-23,2023-01-27,Delivered,Standard
ORD-2024-000112,CUST-03671,2024-12-25,2024-12-29,Delivered,Standard
ORD-2022-000113,CUST-02458,2022-09-12,2022-09-17,Delivered,Standard
ORD-2022-000114,CUST-00717,2022-12-24,2022-12-26,Delivered,Express
ORD-2024-000115,CUST-03441,2024-10-24,2024-10-30,Delivered,Standard
ORD-2023-000116,CUST-01903,2023-04-28,2023-04-30,Delivered,Express
ORD-2024-000117,CUST-03348,2024-12-26,2025-01-02,Delivered,Standard
ORD-2022-000118,CUST-03275,2022-03-19,2022-03-23,Shipped,Standard
ORD-2024-000119,CUST-04801,2024-12-12,,Processing,Standard
ORD-2023-000120,CUST-02708,2023-05-16,2023-05-18,Delivered,Express
ORD-2024-000121,CUST-00979,2024-08-07,2024-08-09,Shipped,Express
ORD-2023-000122,CUST-03820,2023-03-01,2023-03-08,Delivered,Standard
ORD-2023-000123,CUST-00067,2023-09-12,2023-09-19,Delivered,Standard
ORD-2023-000124,CUST-01575,2023-10-27,2023-10-29,Delivered,Express
ORD-2023-000125,CUST-03518,2023-11-07,2023-11-10,Delivered,Standard
ORD-2022-000126,CUST-04033,2022-11-02,2022-11-09,Delivered,Standard
ORD-2023-000127,CUST-00679,2023-02-18,2023-02-21,Delivered,Standard
ORD-2023-000128,CUST-00303,2023-06-10,2023-06-15,Returned,Standard
ORD-2024-000129,CUST-00468,2024-02-13,2024-02-15,Delivered,Express
ORD-2023-000130,CUST-03784,2023-10-13,2023-10-18,Delivered,Standard
ORD-2022-000131,CUST-00980,2022-06-13,2022-06-19,Delivered,Standard
ORD-2022-000132,CUST-02489,2022-10-13,2022-10-19,Delivered,Standard
ORD-2024-000133,CUST-04157,2024-07-22,2024-07-25,Delivered,Standard
ORD-2022-000134,CUST-04234,2022-10-01,2022-10-07,Delivered,Standard
ORD-2023-000135,CUST-00663,2023-05-31,2023-06-01,Delivered,Next Day
ORD-2022-000136,CUST-01976,2022-02-21,2022-02-26,Delivered,Standard
ORD-2024-000137,CUST-00807,2024-12-14,2024-12-17,Delivered,Standard
ORD-2023-000138,CUST-03699,2023-09-11,2023-09-12,Delivered,Next Day
ORD-2022-000139,CUST-01896,2022-05-08,,Processing,Standard
ORD-2022-000140,CUST-04010,2022-02-11,2022-02-13,Delivered,Express
ORD-2023-000141,CUST-03992,2023-12-08,2023-12-12,Delivered,Standard
